"Código";"Descripción"
"01";"CUELLO RED"
"02";"CUELLO V"
"03";"CUELLO MAO"
"04";"ENTALLADA"
"05";"SEMI ENTALLADA"
"06";"OVERSIZE"
"07";"S/CAPUCHA"
"08";"C/CAPUCHA"
"09";"MOOM"
"10";"REGULAR"
"11";"SLIM"
"12";"CHUPIN / SKINNY"
"13";"LOOSE"
"14";"OXFORD"
"15";"CUELLO ALTO"
"99";"VARIOS"
