"Código";"Descripción"
"01";"LISO / BASICO"
"02";"ESTAMPADO"
"03";"RAYADO / LISTADO"
"04";"CUADRO"
"05";"TERMICO"
"06";"PACK"
"07";"TIRO BAJO"
"08";"TIRO MEDIO"
"09";"TIRO INTERMEDIO"
"10";"TIRO ALTO"
"11";"TIRO INDEFINIDO"
"12";"CARGO"
"13";"INVISIBLE"
"14";"SOQUETE"
"15";" 3/4"
"16";"LARGAS"
"17";"DEPORTIVO"
"18";"BOTA / BORCEGO"
"19";"OJOTA"
"20";"ZAPATO"
"21";"ZAPA MODA"
"22";"ZAPA DEPORTIVA"
"23";"COLEGIAL"
"24";"MODA"
"25";"DESODORANTE"
"26";"PERFUME"
"27";"PRINT"
"99";"VARIOS"
